timestamp_utc;looted_by__alliance;looted_by__guild;looted_by__name;item_id;item_name;quantity;looted_from__alliance;looted_from__guild;looted_from__name
2022-04-20T02:29:32.903Z;EVICT;Take lt Easy;OverLockeed;T4_ARMOR_CLOTH_SET2;Adept's Cleric Robe;1;;ALPHA-8;wckkkk
2022-04-20T02:29:34.733Z;EVICT;Take lt Easy;OverLockeed;T4_SHOES_CLOTH_SET1;Adept's Scholar Sandals;1;;ALPHA-8;wckkkk
2022-04-20T02:29:35.279Z;EVICT;Take lt Easy;DBaan;T4_2H_HARPOON_HELL;Adept's Spirithunter;1;;ALPHA-8;wckkkk
2022-04-20T02:29:41.873Z;EVICT;Take lt Easy;DBaan;T5_MOUNT_OX;Expert's Transport Ox;1;;ALPHA-8;wckkkk
2022-04-20T02:42:31.828Z;DIOR;EscaIation;Benmage;T7_POTION_STONESKIN;Major Resistance Potion;3;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:42:31.892Z;DIOR;EscaIation;DirkSmalls;T5_2H_QUARTERSTAFF_AVALON@2;Expert's Grailseeker;1;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:42:32.233Z;DIOR;EscaIation;DirkSmalls;T8_HEAD_LEATHER_SET3;Elder's Assassin Hood;1;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:42:32.554Z;DIOR;EscaIation;DirkSmalls;T8_ARMOR_PLATE_SET2;Elder's Knight Armor;1;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:42:32.944Z;DIOR;EscaIation;Benmage;T5_BAG;Expert's Bag;1;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:42:33.004Z;DIOR;EscaIation;DirkSmalls;T8_SHOES_LEATHER_SET2;Elder's Hunter Shoes;1;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:42:33.442Z;DIOR;EscaIation;DirkSmalls;T4_CAPEITEM_FW_MARTLOCK@3;Adept's Martlock Cape;1;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:42:34.520Z;;Militant;foxglovezinho;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:42:39.756Z;ARCH;Awful Company;beckRR;UNIQUE_GVGTOKEN_GENERIC;Siphoned Energy;4;DIOR;EscaIation;NeadeMedallo
2022-04-20T02:44:07.045Z;;Militant;OkitaZouji;T8_2H_LONGBOW@1;Elder's Longbow;1;OOPS;Different Cloth;Jubjub42O
2022-04-20T02:44:07.364Z;;Militant;OkitaZouji;T6_SHOES_CLOTH_ROYAL@3;Master's Royal Sandals;1;OOPS;Different Cloth;Jubjub42O
2022-04-20T02:44:11.427Z;;;ManinGus;T6_HEAD_LEATHER_ROYAL@3;Master's Royal Hood;1;OOPS;Different Cloth;Jubjub42O
2022-04-20T02:44:11.724Z;;;ManinGus;T7_POTION_STONESKIN;Major Resistance Potion;2;OOPS;Different Cloth;Jubjub42O
2022-04-20T02:44:11.918Z;;;ManinGus;T8_MEAL_STEW@2;Beef Stew;1;OOPS;Different Cloth;Jubjub42O
2022-04-20T02:44:23.616Z;DIOR;EscaIation;DirkSmalls;T6_HEAD_LEATHER_SET3@2;Master's Assassin Hood;1;EVICT;Take lt Easy;Fleezao
2022-04-20T02:44:24.007Z;DIOR;EscaIation;DirkSmalls;T7_ARMOR_CLOTH_SET2@1;Grandmaster's Cleric Robe;1;EVICT;Take lt Easy;Fleezao
2022-04-20T02:44:24.082Z;DIOR;EscaIation;MatheusMRC;T5_TRASH;Trash;1;EVICT;Take lt Easy;Fleezao
2022-04-20T02:44:24.395Z;DIOR;EscaIation;MatheusMRC;T6_SHOES_CLOTH_ROYAL@2;Master's Royal Sandals;1;EVICT;Take lt Easy;Fleezao
2022-04-20T02:44:24.771Z;DIOR;EscaIation;MatheusMRC;T7_POTION_STONESKIN;Major Resistance Potion;2;EVICT;Take lt Easy;Fleezao
2022-04-20T02:44:25.006Z;DIOR;EscaIation;MatheusMRC;T4_CAPEITEM_FW_MARTLOCK@3;Adept's Martlock Cape;1;EVICT;Take lt Easy;Fleezao
2022-04-20T02:44:31.223Z;DIOR;Elevate;YonkoSSJGOD;T5_BAG@1;Expert's Bag;1;EVICT;Take lt Easy;Fleezao
2022-04-20T02:44:36.035Z;DIOR;EscaIation;Heros1;T7_MAIN_CURSEDSTAFF_UNDEAD@1;Grandmaster's Lifecurse Staff;1;EVICT;Take lt Easy;VT23
2022-04-20T02:44:36.307Z;DIOR;EscaIation;Heros1;T6_OFF_HORN_KEEPER@2;Master's Mistcaller;1;EVICT;Take lt Easy;VT23
2022-04-20T02:44:36.638Z;DIOR;EscaIation;Heros1;T5_ARMOR_PLATE_KEEPER@3;Expert's Judicator Armor;1;EVICT;Take lt Easy;VT23
2022-04-20T02:44:36.852Z;DIOR;EscaIation;Heros1;T4_CAPEITEM_FW_MARTLOCK@3;Adept's Martlock Cape;1;EVICT;Take lt Easy;VT23
2022-04-20T02:44:36.940Z;DIOR;EscaIation;N97A;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;EVICT;Take lt Easy;Fleezao
2022-04-20T02:44:37.172Z;DIOR;EscaIation;Heros1;T6_BAG;Master's Bag;1;EVICT;Take lt Easy;VT23
2022-04-20T02:44:37.456Z;DIOR;EscaIation;Heros1;T7_POTION_STONESKIN;Major Resistance Potion;3;EVICT;Take lt Easy;VT23
2022-04-20T02:44:40.161Z;DIOR;EscaIation;Heros1;T8_ARMOR_CLOTH_SET2@1;Elder's Cleric Robe;1;EVICT;Take lt Easy;OverLockeed
2022-04-20T02:44:40.528Z;DIOR;EscaIation;Heros1;T5_MOUNT_COUGAR_KEEPER@1;Swiftclaw;1;EVICT;Take lt Easy;OverLockeed
